Startup Name,Sector,Stage,Amount Raised ($M),Lead Investor,Founded Year,HQ Location
WindTech Labs,Clean Energy,Seed,2.5,Energize Ventures,2021,"Chicago, IL"
Medwise AI,HealthTech,Series A,12.0,HealthX Capital,2020,"Chicago, IL"
LoopCart,E-commerce,Series B,25.0,Chicago Ventures,2019,"Chicago, IL"
Synapse Quantum,Quantum Tech,Seed,3.0,P33 Chicago,2022,"Chicago, IL"
FoodChain Systems,AgTech,Series A,9.8,Cultivian Sandbox,2018,"Chicago, IL"
GreenBrick Robotics,Robotics,Series A,11.5,MATH Venture Partners,2019,"Chicago, IL"
SafeRx,HealthTech,Seed,1.2,Chicago Ventures,2022,"Chicago, IL"
UrbanCharge,Energy,Series B,17.0,Energize Ventures,2018,"Chicago, IL"
Finloop,FinTech,Seed,2.0,Hyde Park Angels,2021,"Chicago, IL"
NeuroNetix,AI,Series A,10.3,AI Fund Midwest,2020,"Chicago, IL"
BrightBin,WasteTech,Series A,7.6,Impact Engine,2017,"Chicago, IL"
CodeWell,EdTech,Series B,23.0,New Stack Ventures,2016,"Chicago, IL"
EduSphere,EdTech,Seed,1.8,Starting Line,2023,"Chicago, IL"
AetherBio,Biotech,Seed,4.4,Portal Innovations,2022,"Chicago, IL"
FleetIQ,Logistics,Series A,13.7,Drive Capital,2019,"Chicago, IL"
